Data,Nº Nota Fiscal,Placa,Fornecedor,Km Inicial,Km Final,Km Total,Qtde. Litros,Média,Peso,Média Peso,Desconto,Valor Total,Centro de Custo,Plano de Contas
1/1/2025,,PES-6F45,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,1134172,1134487,315,"300,00","1,05","0,00","0,00","R$ 0,00 ","R$ 1.788,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/1/2025,,QQN-8J78,A M REVENDEDORA DE COMBUSTIVEIS LTDA,576322,578002,1680,"50,83","33,05","0,00","0,00","R$ 0,00 ","R$ 303,96 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/1/2025,,QQN-8J78,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,578002,578020,18,"515,01","0,03","0,00","0,00","R$ 0,00 ","R$ 3.069,46 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/2/2025,,QQN-8J78,TREVO DERIVADOS DE PETROLEO LTDA,578020,578374,354,"100,00","3,54","0,00","0,00","R$ 0,00 ","R$ 605,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/2/2025,,PES-6F45,GAM COMERCIO DE COMBUSTIVEIS LTDA,1134487,1134968,481,"300,00","1,60","0,00","0,00","R$ 0,00 ","R$ 1.779,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/2/2025,,RCP-3F78,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,462785,463987,1202,"553,54","2,17","0,00","0,00","R$ 0,00 ","R$ 3.205,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/3/2025,,QQN-8J78,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,578374,578724,350,"153,87","2,27","0,00","0,00","R$ 0,00 ","R$ 917,07 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/3/2025,,PFB-2A13,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,1045192,1045334,142,"211,59","0,67","0,00","0,00","R$ 0,00 ","R$ 1.203,95 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/4/2025,,SNO-6F99,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,110798,112469,1671,"708,26","2,36","0,00","0,00","R$ 0,00 ","R$ 4.030,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/4/2025,,SOC-0G05,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,59960,60562,602,"241,67","2,49","0,00","0,00","R$ 0,00 ","R$ 1.375,10 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/5/2025,,SOC-0G05,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,60562,61547,985,"234,02","4,21","0,00","0,00","R$ 0,00 ","R$ 1.394,76 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/5/2025,,RCP-3F78,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,463987,465337,1350,"338,48","3,99","0,00","0,00","R$ 0,00 ","R$ 1.925,95 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/5/2025,,QQN-8J78,POSTO DE COMBUSTIVEL ALTO DA SERRA LTDA,578724,580098,1374,"100,01","13,74","0,00","0,00","R$ 0,00 ","R$ 622,06 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/5/2025,,QQN-8J78,FABIANA ANDREIA CHIAPARINI & CIA LTDA,580098,580309,211,"100,00","2,11","0,00","0,00","R$ 0,00 ","R$ 615,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/5/2025,,PFB-2A13,COMERCIO DE COMBUSTIVEIS ABREU E LIMA LTDA,1045334,1046409,1075,"50,00","21,50","0,00","0,00","R$ 0,00 ","R$ 299,50 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/5/2025,,SNO-6F99,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,112469,113443,974,"259,73","3,75","0,00","0,00","R$ 0,00 ","R$ 1.547,99 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/6/2025,,QQN-8J78,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,580309,580414,105,"474,00","0,22","0,00","0,00","R$ 0,00 ","R$ 2.825,04 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/7/2025,,PFB-2A13,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,1046409,1046550,141,"200,00","0,70","0,00","0,00","R$ 0,00 ","R$ 1.138,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/8/2025,,PFB-2A13,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,1046550,1046720,170,"358,45","0,47","0,00","0,00","R$ 0,00 ","R$ 2.039,58 ",COMBUSTIVEL ,DESP. PRODUCAO   
1/8/2025,,SOC-0G05,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,61547,63229,1682,"200,00","8,41","0,00","0,00","R$ 0,00 ","R$ 1.192,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
